"pwsid","a_int.identified_as_disadvantaged","pw_int_hh.percent_pre_1960s_housing_lead_paint_indicator","pw_int_pop.low_life_expectancy_percentile"
"IA0510040",1,64,74
"IA0520030",1,64,74
"IA0543031",0,69,51
"IA0600600",0,29,57
"IA0603072",0,36,3
"IA0607013",0,52,37
"IA0610099",0,60,64
"IA0625078",0,61,1
"IA0640030",0,52,37
"IA0650001",0,61,1
"IA0653050",0,36,3
"IA0656081",0,36,3
"IA0670043",0,29,57
"IA0680041",0,33,35
"IA0685045",0,61,1
"IA0688053",0,51,48.99
"IA0690301",0,36,3
"IA0690305",0,36,3
"IA0709084",0,33,38.64
"IA0717084",0,43,25
"IA0717353",0,43,25
"IA0721014",0,31,15
"IA0723027",0.01,49,67.45
"IA0733084",0,31,15
"IA0737062",0,37,37
"IA0743057",0,54,41
"IA0790074",0.56,51,54.49
"IA0790601",0,31,15
"IA0800601",0,46,45
"IA0800923",0,NA,NA
"IA0819033",0,55,33.12
"IA0819303",0,48,34
"IA0819305",0,34,0
"IA0819602",0,48,34
"IA0837701",0,34,0
"IA0844006",0,38,22.27
"IA0848015",0,46,45
"IA0848701",0,43,42.08
"IA0858090",0,48,34
"IA0862042",0,48,34
"IA0900647",0,28,21
"IA0915030",0,28,21
"IA0932001",0,30,27.41
"IA0960045",0,66,38
"IA0965073",0,60,51
"IA0970006",0,65,25.8
"IA0975032",0,63,25
"IA0990085",0,33,24.72
"IA0990990",0,28,21
"IA1011001",0,37,22
"IA1025031",0,39,51.73
"IA1031044",0,36,52
"IA1031601",0,36,52
"IA1037070",0,44,72.18
"IA1037301",0,47,82
"IA1037302",0,NA,NA
"IA1044006",0,37,26.84
"IA1051051",1,55,19
"IA1093031",0.73,54,19.18
"IA1103009",0,67,69
"IA1108025",0,47,8
"IA1145047",1,27,24
"IA1147085",0,70,22
"IA1150030",0,67,69
"IA1155049",0,59,39
"IA1170078",0,70,22
"IA1175056",0,69,21.45
"IA1178097",1,37,33.54
"IA1182035",0,47,8
"IA1203026",0,63,46
"IA1207061",0,42,33
"IA1222044",1,74,34
"IA1228038",0,60,38
"IA1240081",1,74,34
"IA1253006",0,63,45.95
"IA1271058",0,58,44
"IA1281028",0,42,33
"IA1286042",0,58,43.96
"IA1300101",0,39,28.12
"IA1320039",0,64,18
"IA1335001",0,62,57
"IA1340001",0,64,18
"IA1345043",0,61,83
"IA1351027",0,37,26
"IA1363051",0,62,57
"IA1374086",0,64,18
"IA1376098",0,62,57
"IA1381073",0,64,18
"IA1389001",0,64,18
"IA1400902",0,55,6
"IA1400903",0,63,54
"IA1403062",0,48,51
"IA1409041",0,48,51
"IA1415072",0.56,32,43.32
"IA1427070",0,60,60
"IA1433016",0,60,60
"IA1438091",0,58,8
"IA1444022",0,48,51
"IA1449053",0,58,8
"IA1453080",0,58,8
"IA1457025",0,55,6
"IA1471069",0,58,8
"IA1479015",0,55,6
"IA1503053",0,67,52
"IA1509074",1,53,59.5
"IA1516093",0,72,32
"IA1528010",0,67,84
"IA1535078",0,67,84
"IA1558055",0,72,32
"IA1570032",0,67,52
"IA1600301",0,44,48
"IA1600682",0,38,35
"IA1603005",0,54,0
"IA1630028",0,60,11
"IA1636090",0,54,0.01
"IA1656001",0,60,11
"IA1667076",0,44,48
"IA1681092",0,44,48
"IA1689022",0,51,42
"IA1694000",0,37,35
"IA1700642",0,43,6
"IA1716076",0,44,28.61
"IA1750048",0.19,59,44.47
