"pwsid","pws_name","primacy_agency","pop_cat_5","population_served_count","service_connections_count","service_area_type","symbology_field","detailed_facility_report","ewg_report_link","epic_area_mi2"
"VT0005053","Burlington Dept Public Works Water Div","VT","10,001-100,000",42000,9900,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005053&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005053",8.75
"VT0005056","Pine Ridge Water System","VT","<=500",46,19,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005056&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005056",0.16
"VT0005057","Hillcrest Mhp Inc","VT","501-3,300",615,235,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005057&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005057",0.26
"VT0005058","Colchester Fire District 1","VT","501-3,300",2066,63,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005058&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005058",0.56
"VT0005059","Colchester Fire District 2","VT","3,301-10,000",8300,2800,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005059&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005059",4.82
"VT0005060","Colchester Fire District 3","VT","3,301-10,000",7733,1885,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005060&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005060",11.76
"VT0005065","Essex Town Water System","VT","3,301-10,000",9734,3325,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005065&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005065",11.03
"VT0005066","Essex Jct Water Dept","VT","3,301-10,000",9500,3300,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005066&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005066",0.2
"VT0005070","Hinesburg Water Dept","VT","501-3,300",2800,905,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005070&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005070",4.21
"VT0005076","Huntington Fire District 1","VT","<=500",120,46,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005076&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005076",0.2
"VT0005077","Village Of Jericho Water System","VT","501-3,300",1410,575,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005077&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005077",11.63
"VT0005078","Jericho Heights Water Coop","VT","<=500",40,18,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005078&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005078",0.11
"VT0005079","Milton Water Dept","VT","3,301-10,000",8000,2500,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005079&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005079",10.54
"VT0005083","Milton Mobile Home Park","VT","<=500",260,99,"Mobile Home Park","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005083&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005083",0.05
"VT0005084","Richmond Water Dept","VT","501-3,300",1048,330,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005084&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005084",1.16
"VT0005086","Riverview Commons","VT","<=500",388,148,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005086&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005086",0.63
"VT0005087","Shelburne Water Dept","VT","3,301-10,000",5764,2600,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005087&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005087",14.76
"VT0005089","Livingston Mhp","VT","<=500",50,19,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005089&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005089",0.11
"VT0005090","South Burlington Fire District","VT","<=500",250,78,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005090&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005090",0.47
"VT0005091","South Burlington City Water System","VT","10,001-100,000",19500,8205,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005091&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005091",11.07
"VT0005092","Champlain Water District","VT","<=500",1,26535,"Wholesaler of Water","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005092&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005092",0.1
"VT0005093","St George Fire District 1","VT","<=500",42,16,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005093&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005093",0.16
"VT0005094","St George Fire District #2","VT","<=500",72,25,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005094&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005094",0.13
"VT0005095","St George Community Cooperative","VT","<=500",420,120,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005095&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005095",0.24
"VT0005096","Jericho Underhill Water","VT","501-3,300",825,310,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005096&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005096",1.47
"VT0005098","Williston Water Dept","VT","3,301-10,000",7259,3226,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005098&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005098",11.95
"VT0005100","Williston Fire District 1","VT","<=500",212,82,"Mobile Home Park","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005100&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005100",0.23
"VT0005102","Winooski Water Dept","VT","3,301-10,000",8500,1744,"Residential Area","Modeled","https://echo.epa.gov/detailed-facility-report?fid=VT0005102&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005102",1.27
"VT0005104","Bloomfield Water System","VT","<=500",50,19,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005104&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005104",0.35
"VT0005105","Brighton Water System","VT","501-3,300",1200,711,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005105&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005105",4.23
"VT0005106","Canaan Fire District 1","VT","501-3,300",970,286,"Residential Area","System Sourced","https://echo.epa.gov/detailed-facility-report?fid=VT0005106&sys=SDWIS","https://www.ewg.org/tapwater/system.php?pws=VT0005106",1.33
